Date,Open,High,Low,Close,Adj Close,Volume
2018-02-05,3.345000,3.410000,3.300000,3.395000,3.338475,303423
2018-02-06,3.285000,3.425000,3.210000,3.340000,3.284391,443659
2018-02-07,3.350000,3.395000,3.315000,3.380000,3.323725,176136
2018-02-08,3.340000,3.420000,3.310000,3.400000,3.343392,217087
2018-02-09,3.335000,3.380000,3.335000,3.350000,3.294224,187782
2018-02-12,3.365000,3.545000,3.365000,3.490000,3.431893,789770
2018-02-13,3.505000,3.575000,3.470000,3.495000,3.436810,588773
2018-02-14,3.500000,3.580000,3.465000,3.530000,3.471227,820812
2018-02-15,3.540000,3.600000,3.405000,3.405000,3.348308,204006
2018-02-16,3.430000,3.505000,3.430000,3.470000,3.412226,665025
2018-02-19,3.540000,3.560000,3.445000,3.495000,3.436810,108467
2018-02-20,3.485000,3.545000,3.485000,3.520000,3.461394,146694
2018-02-21,3.515000,3.545000,3.485000,3.490000,3.431893,207088
2018-02-22,3.480000,3.480000,3.400000,3.400000,3.343392,280729
2018-02-23,3.405000,3.415000,3.355000,3.380000,3.323725,284944
2018-02-26,3.430000,3.485000,3.410000,3.435000,3.377809,128336
2018-02-27,3.450000,3.465000,3.375000,3.400000,3.343392,162696
2018-02-28,3.380000,3.435000,3.330000,3.380000,3.323725,631999
2018-03-01,3.385000,3.440000,3.300000,3.405000,3.348308,757292
2018-03-02,3.400000,3.400000,3.300000,3.350000,3.294224,346365
2018-03-05,3.330000,3.420000,3.330000,3.380000,3.323725,365863
2018-03-06,3.390000,3.500000,3.390000,3.460000,3.402393,483040
2018-03-07,3.440000,3.480000,3.415000,3.420000,3.363059,111589
2018-03-08,3.410000,3.455000,3.385000,3.455000,3.397476,155525
2018-03-09,3.435000,3.445000,3.355000,3.370000,3.313891,182216
2018-03-12,3.375000,3.405000,3.320000,3.365000,3.308975,240787
2018-03-13,3.365000,3.460000,3.365000,3.380000,3.323725,296627
2018-03-14,3.425000,3.445000,3.390000,3.410000,3.353225,490515
2018-03-15,3.420000,3.425000,3.340000,3.365000,3.308975,226010
2018-03-16,3.355000,3.380000,3.280000,3.330000,3.274557,301787
2018-03-19,3.330000,3.385000,3.280000,3.310000,3.254890,403286
2018-03-20,3.295000,3.360000,3.250000,3.350000,3.294224,244603
2018-03-21,3.335000,3.375000,3.285000,3.350000,3.294224,193749
2018-03-22,3.335000,3.460000,3.335000,3.430000,3.372892,270748
2018-03-23,3.385000,3.445000,3.340000,3.445000,3.387643,474763
2018-03-26,3.450000,3.480000,3.370000,3.430000,3.372892,368395
2018-03-27,3.455000,3.540000,3.455000,3.515000,3.456477,390704
2018-03-28,3.520000,3.520000,3.380000,3.390000,3.333558,384260
2018-03-29,3.400000,3.425000,3.350000,3.360000,3.304058,88656
2018-04-03,3.350000,3.450000,3.350000,3.440000,3.382726,189748
2018-04-04,3.380000,3.445000,3.350000,3.400000,3.343392,686221
2018-04-05,3.370000,3.455000,3.340000,3.385000,3.328641,906046
2018-04-06,3.375000,3.375000,3.285000,3.305000,3.249974,254646
2018-04-09,3.310000,3.395000,3.280000,3.360000,3.304058,278845
2018-04-10,3.335000,3.410000,3.335000,3.410000,3.353225,284516
2018-04-11,3.400000,3.470000,3.370000,3.425000,3.367975,363798
2018-04-12,3.430000,3.450000,3.360000,3.415000,3.358142,230145
2018-04-13,3.415000,3.465000,3.400000,3.410000,3.353225,212206
2018-04-16,3.395000,3.460000,3.380000,3.425000,3.367975,187049
2018-04-17,3.420000,3.500000,3.420000,3.490000,3.431893,195168
2018-04-18,3.500000,3.500000,3.465000,3.485000,3.426976,332275
2018-04-19,3.500000,3.675000,3.500000,3.565000,3.505645,551803
2018-04-20,3.580000,3.630000,3.555000,3.585000,3.525312,166172
2018-04-23,3.600000,3.620000,3.535000,3.590000,3.530228,171654
